id,date,time,teensytime,record_sn,voltage,current,teensytemp,nano_value1,nano_value2,nano_value3,nano_value4,valve_state,x_pos,y_pos,alt,eu_x,eu_y,eu_z,acc_x,acc_y,acc_z,lat,lon,gps_alt
28,2025-05-13,14:00:01.350,13600000,00028,11.999,0.501,36.51,550,652,451,601,OPEN,10.07,20.04,21.61,0.07,-0.13,0.5,0.003,0.01,2.92,27.705013,85.329013,21.61
29,2025-05-13,14:00:01.400,14100000,00029,11.999,0.501,36.51,550,652,451,601,OPEN,10.07,20.04,22.58,0.07,-0.14,0.5,0.003,0.01,2.92,27.705014,85.329014,22.58
30,2025-05-13,14:00:01.450,14600000,00030,11.999,0.501,36.51,550,652,451,601,OPEN,10.07,20.04,23.59,0.07,-0.14,0.5,0.003,0.01,2.91,27.705014,85.329014,23.59
31,2025-05-13,14:00:01.500,15100000,00031,11.998,0.501,36.51,550,652,451,601,OPEN,10.07,20.05,24.64,0.07,-0.15,0.5,0.003,0.01,2.91,27.705015,85.329015,24.64
32,2025-05-13,14:00:01.550,15600000,00032,11.998,0.502,36.51,550,652,451,601,OPEN,10.08,20.05,25.74,0.08,-0.15,0.5,0.003,0.01,2.91,27.705015,85.329015,25.74
33,2025-05-13,14:00:01.600,16100000,00033,11.998,0.502,36.51,550,652,451,601,OPEN,10.08,20.05,26.87,0.08,-0.16,0.5,0.003,0.009,2.91,27.705016,85.329016,26.87
34,2025-05-13,14:00:01.650,16600000,00034,11.998,0.502,36.51,550,652,451,601,OPEN,10.08,20.05,28.06,0.08,-0.16,0.5,0.003,0.009,2.9,27.705016,85.329016,28.06
35,2025-05-13,14:00:01.700,17100000,00035,11.998,0.502,36.51,550,652,451,601,OPEN,10.09,20.05,29.28,0.08,-0.17,0.5,0.003,0.009,2.9,27.705017,85.329017,29.28
36,2025-05-13,14:00:01.750,17600000,00036,11.998,0.502,36.51,550,652,451,601,OPEN,10.09,20.05,30.55,0.09,-0.17,0.5,0.003,0.009,2.9,27.705017,85.329017,30.55
37,2025-05-13,14:00:01.800,18100000,00037,11.998,0.502,36.51,550,652,451,601,OPEN,10.09,20.05,31.87,0.09,-0.18,0.5,0.004,0.009,2.89,27.705018,85.329018,31.87
38,2025-05-13,14:00:01.850,18600000,00038,11.998,0.502,36.51,550,652,451,601,OPEN,10.09,20.06,33.22,0.09,-0.18,0.5,0.004,0.009,2.89,27.705018,85.329018,33.22
39,2025-05-13,14:00:01.900,19100000,00039,11.998,0.502,36.51,550,652,451,601,OPEN,10.1,20.06,34.63,0.09,-0.19,0.5,0.004,0.009,2.89,27.705019,85.329019,34.63
40,2025-05-13,14:00:01.950,19600000,00040,11.998,0.502,36.51,550,652,451,601,OPEN,10.1,20.06,36.08,0.1,-0.19,0.5,0.004,0.009,2.89,27.705019,85.329019,36.08
41,2025-05-13,14:00:02.000,20100000,00041,11.998,0.502,36.51,550,652,451,601,OPEN,10.1,20.06,37.57,0.1,-0.2,0.5,0.004,0.009,2.88,27.70502,85.32902,37.57
42,2025-05-13,14:00:02.050,20600000,00042,11.998,0.502,36.51,551,652,451,601,OPEN,10.1,20.06,39.11,0.1,-0.2,0.5,0.004,0.009,2.88,27.70502,85.32902,39.11
43,2025-05-13,14:00:02.100,21100000,00043,11.998,0.502,36.51,551,652,451,601,OPEN,10.11,20.06,40.69,0.1,-0.21,0.5,0.004,0.009,2.88,27.705021,85.329021,40.69
44,2025-05-13,14:00:02.150,21600000,00044,11.998,0.502,36.51,551,652,451,601,OPEN,10.11,20.06,42.32,0.11,-0.21,0.5,0.004,0.009,2.87,27.705021,85.329021,42.32
45,2025-05-13,14:00:02.200,22100000,00045,11.998,0.502,36.51,551,652,451,601,OPEN,10.11,20.07,44.0,0.11,-0.22,0.5,0.004,0.009,2.87,27.705022,85.329022,44.0
46,2025-05-13,14:00:02.250,22600000,00046,11.998,0.502,36.51,551,652,451,601,OPEN,10.11,20.07,45.72,0.11,-0.22,0.5,0.004,0.009,2.87,27.705022,85.329022,45.72
47,2025-05-13,14:00:02.300,23100000,00047,11.998,0.502,36.51,551,652,451,601,OPEN,10.12,20.07,47.49,0.11,-0.22,0.5,0.004,0.009,2.87,27.705023,85.329023,47.49
48,2025-05-13,14:00:02.350,23600000,00048,11.998,0.502,36.51,551,652,451,601,OPEN,10.12,20.07,49.31,0.12,-0.23,0.5,0.005,0.009,2.86,27.705023,85.329023,49.31
49,2025-05-13,14:00:02.400,24100000,00049,11.998,0.502,36.51,551,652,451,601,OPEN,10.12,20.07,51.17,0.12,-0.23,0.5,0.005,0.009,2.86,27.705024,85.329024,51.17
50,2025-05-13,14:00:02.450,24600000,00050,11.998,0.502,36.51,551,652,451,601,OPEN,10.12,20.07,53.08,0.12,-0.24,0.5,0.005,0.009,2.86,27.705024,85.329024,53.08
51,2025-05-13,14:00:02.500,25100000,00051,11.998,0.502,36.51,551,652,451,601,OPEN,10.12,20.07,55.04,0.12,-0.24,0.5,0.005,0.009,2.85,27.705025,85.329025,55.04
52,2025-05-13,14:00:02.550,25600000,00052,11.997,0.503,36.51,551,652,451,601,OPEN,10.13,20.08,57.05,0.13,-0.25,0.5,0.005,0.009,2.85,27.705025,85.329026,57.05
53,2025-05-13,14:00:02.600,26100000,00053,11.997,0.503,36.51,551,652,451,601,OPEN,10.13,20.08,59.1,0.13,-0.25,0.5,0.005,0.009,2.85,27.705026,85.329026,59.1
54,2025-05-13,14:00:02.650,26600000,00054,11.997,0.503,36.51,551,652,452,601,OPEN,10.13,20.08,61.2,0.13,-0.26,0.5,0.005,0.009,2.85,27.705026,85.329026,61.2
55,2025-05-13,14:00:02.700,27100000,00055,11.997,0.503,36.51,551,652,452,601,OPEN,10.13,20.08,63.35,0.13,-0.26,0.5,0.005,0.009,2.84,27.705027,85.329027,63.35
56,2025-05-13,14:00:02.750,27600000,00056,11.997,0.503,36.51,551,652,452,601,OPEN,10.14,20.08,65.55,0.14,-0.27,0.5,0.005,0.009,2.84,27.705027,85.329027,65.55
57,2025-05-13,14:00:02.800,28100000,00057,11.997,0.503,36.51,551,652,452,601,OPEN,10.14,20.08,67.8,0.14,-0.27,0.5,0.005,0.008,2.84,27.705028,85.329028,67.8
58,2025-05-13,14:00:02.850,28600000,00058,11.997,0.503,36.51,551,652,452,601,OPEN,10.14,20.09,70.09,0.14,-0.28,0.49,0.005,0.008,2.83,27.705028,85.329028,70.09
59,2025-05-13,14:00:02.900,29100000,00059,11.997,0.503,36.51,551,652,452,601,OPEN,10.14,20.09,72.43,0.14,-0.28,0.49,0.005,0.008,2.83,27.705029,85.329029,72.43
60,2025-05-13,14:00:02.950,29600000,00060,11.997,0.503,36.51,551,652,452,601,OPEN,10.15,20.09,74.83,0.15,-0.29,0.49,0.006,0.008,2.83,27.705029,85.329029,74.83
61,2025-05-13,14:00:03.000,30100000,00061,11.997,0.503,36.51,551,652,452,601,OPEN,10.15,20.09,77.27,0.15,-0.29,0.49,0.006,0.008,2.83,27.70503,85.32903,77.27
62,2025-05-13,14:00:03.050,30600000,00062,11.997,0.503,36.52,551,652,452,601,OPEN,10.15,20.09,79.76,0.15,-0.3,0.49,0.006,0.008,2.82,27.70503,85.32903,79.76
63,2025-05-13,14:00:03.100,31100000,00063,11.997,0.503,36.52,551,652,452,601,OPEN,10.15,20.09,82.3,0.15,-0.3,0.49,0.006,0.008,2.82,27.705031,85.329031,82.3
64,2025-05-13,14:00:03.150,31600000,00064,11.997,0.503,36.52,551,652,452,601,OPEN,10.16,20.09,84.89,0.15,-0.31,0.49,0.006,0.008,2.82,27.705031,85.329031,84.89
65,2025-05-13,14:00:03.200,32100000,00065,11.997,0.503,36.52,551,652,452,601,OPEN,10.16,20.1,87.53,0.16,-0.31,0.49,0.006,0.008,2.81,27.705032,85.329032,87.53
66,2025-05-13,14:00:03.250,32600000,00066,11.997,0.503,36.52,551,652,452,601,OPEN,10.16,20.1,90.22,0.16,-0.31,0.49,0.006,0.008,2.81,27.705032,85.329032,90.22
67,2025-05-13,14:00:03.300,33100000,00067,11.997,0.503,36.52,551,652,452,601,OPEN,10.16,20.1,92.96,0.16,-0.32,0.49,0.006,0.008,2.81,27.705033,85.329033,92.96
68,2025-05-13,14:00:03.350,33600000,00068,11.997,0.503,36.52,551,652,452,601,OPEN,10.17,20.1,95.75,0.16,-0.32,0.49,0.006,0.008,2.81,27.705033,85.329033,95.75
69,2025-05-13,14:00:03.400,34100000,00069,11.997,0.503,36.52,551,652,452,601,OPEN,10.17,20.1,98.59,0.17,-0.33,0.49,0.006,0.008,2.8,27.705034,85.329034,98.59
70,2025-05-13,14:00:03.450,34600000,00070,11.997,0.503,36.52,551,652,452,601,OPEN,10.17,20.1,101.49,0.17,-0.33,0.49,0.006,0.008,2.8,27.705035,85.329034,101.49
71,2025-05-13,14:00:03.500,35100000,00071,11.996,0.503,36.52,551,652,452,601,OPEN,10.18,20.11,104.43,0.17,-0.34,0.49,0.006,0.008,2.8,27.705035,85.329035,104.43
72,2025-05-13,14:00:03.550,35600000,00072,11.996,0.503,36.52,551,652,452,601,OPEN,10.18,20.11,107.42,0.17,-0.34,0.49,0.007,0.008,2.79,27.705035,85.329035,107.42
73,2025-05-13,14:00:03.600,36100000,00073,11.996,0.504,36.52,551,652,452,601,OPEN,10.18,20.11,110.47,0.18,-0.35,0.49,0.007,0.008,2.79,27.705036,85.329036,110.47
74,2025-05-13,14:00:03.650,36600000,00074,11.996,0.504,36.52,551,652,452,601,OPEN,10.18,20.11,113.56,0.18,-0.35,0.49,0.007,0.007,2.79,27.705036,85.329036,113.56
75,2025-05-13,14:00:03.700,37100000,00075,11.996,0.504,36.52,551,652,452,601,OPEN,10.19,20.11,116.71,0.18,-0.36,0.49,0.007,0.007,2.79,27.705037,85.329037,116.71
76,2025-05-13,14:00:03.750,37600000,00076,11.996,0.504,36.52,551,652,452,601,OPEN,10.19,20.11,119.91,0.18,-0.36,0.49,0.007,0.007,2.78,27.705037,85.329037,119.91
77,2025-05-13,14:00:03.800,38100000,00077,11.996,0.504,36.52,551,652,452,601,OPEN,10.19,20.11,123.16,0.19,-0.37,0.49,0.007,0.007,2.78,27.705038,85.329038,123.16
78,2025-05-13,14:00:03.850,38600000,00078,11.996,0.504,36.52,551,652,452,601,OPEN,10.19,20.12,126.46,0.19,-0.37,0.49,0.007,0.007,2.78,27.705038,85.329038,126.46
79,2025-05-13,14:00:03.900,39100000,00079,11.996,0.504,36.52,551,652,452,601,OPEN,10.2,20.12,129.81,0.19,-0.38,0.49,0.007,0.007,2.77,27.705039,85.329039,129.81
80,2025-05-13,14:00:03.950,39600000,00080,11.996,0.504,36.52,551,652,452,601,OPEN,10.2,20.12,133.22,0.19,-0.38,0.49,0.007,0.007,2.77,27.705039,85.329039,133.22
81,2025-05-13,14:00:04.000,40100000,00081,11.996,0.504,36.52,551,652,452,601,OPEN,10.2,20.12,136.67,0.19,-0.38,0.49,0.007,0.007,2.77,27.70504,85.32904,136.67
82,2025-05-13,14:00:04.050,40600000,00082,11.996,0.504,36.52,551,652,452,601,OPEN,10.2,20.12,140.18,0.2,-0.39,0.49,0.007,0.007,2.77,27.70504,85.32904,140.18
83,2025-05-13,14:00:04.100,41100000,00083,11.996,0.504,36.52,551,652,452,601,OPEN,10.21,20.12,143.74,0.2,-0.39,0.49,0.007,0.007,2.76,27.705041,85.329041,143.74
84,2025-05-13,14:00:04.150,41600000,00084,11.996,0.504,36.52,552,652,452,601,OPEN,10.21,20.12,147.36,0.2,-0.4,0.49,0.007,0.007,2.76,27.705041,85.329041,147.36
85,2025-05-13,14:00:04.200,42100000,00085,11.996,0.504,36.52,552,652,452,601,OPEN,10.21,20.13,151.03,0.2,-0.4,0.49,0.007,0.007,2.76,27.705042,85.329042,151.03
86,2025-05-13,14:00:04.250,42600000,00086,11.996,0.504,36.52,552,652,453,601,OPEN,10.21,20.13,154.75,0.21,-0.41,0.49,0.008,0.007,2.76,27.705042,85.329042,154.75
87,2025-05-13,14:00:04.300,43100000,00087,11.996,0.504,36.52,552,652,453,601,OPEN,10.21,20.13,158.52,0.21,-0.41,0.49,0.008,0.007,2.75,27.705043,85.329043,158.52
88,2025-05-13,14:00:04.350,43600000,00088,11.996,0.504,36.52,552,652,453,601,OPEN,10.22,20.13,162.34,0.21,-0.42,0.49,0.008,0.006,2.75,27.705043,85.329043,162.34
89,2025-05-13,14:00:04.400,44100000,00089,11.996,0.504,36.52,552,652,453,601,OPEN,10.22,20.13,166.22,0.21,-0.42,0.49,0.008,0.006,2.75,27.705044,85.329044,166.22
90,2025-05-13,14:00:04.450,44600000,00090,11.996,0.504,36.52,552,652,453,601,OPEN,10.22,20.13,170.16,0.22,-0.43,0.49,0.008,0.006,2.74,27.705044,85.329044,170.16
91,2025-05-13,14:00:04.500,45100000,00091,11.995,0.504,36.52,552,652,453,601,OPEN,10.22,20.14,174.14,0.22,-0.43,0.49,0.008,0.006,2.74,27.705045,85.329045,174.14
92,2025-05-13,14:00:04.550,45600000,00092,11.995,0.504,36.52,552,652,453,601,OPEN,10.23,20.14,178.18,0.22,-0.43,0.49,0.008,0.006,2.74,27.705045,85.329045,178.18
93,2025-05-13,14:00:04.600,46100000,00093,11.995,0.504,36.52,552,652,453,601,OPEN,10.23,20.14,182.27,0.22,-0.44,0.49,0.008,0.006,2.74,27.705046,85.329046,182.27
94,2025-05-13,14:00:04.650,46600000,00094,11.995,0.504,36.52,552,652,453,601,OPEN,10.23,20.14,186.42,0.22,-0.44,0.49,0.008,0.006,2.73,27.705046,85.329046,186.42
95,2025-05-13,14:00:04.700,47100000,00095,11.995,0.505,36.52,552,652,453,601,OPEN,10.23,20.14,190.62,0.23,-0.45,0.49,0.008,0.006,2.73,27.705047,85.329047,190.62
96,2025-05-13,14:00:04.750,47600000,00096,11.995,0.505,36.52,552,652,453,601,OPEN,10.24,20.14,194.87,0.23,-0.45,0.49,0.008,0.006,2.73,27.705047,85.329047,194.87
97,2025-05-13,14:00:04.800,48100000,00097,11.995,0.505,36.52,552,652,453,601,OPEN,10.24,20.14,199.18,0.23,-0.46,0.49,0.008,0.006,2.73,27.705048,85.329048,199.18
98,2025-05-13,14:00:04.850,48600000,00098,11.995,0.505,36.52,552,652,453,601,OPEN,10.24,20.15,203.55,0.23,-0.46,0.49,0.008,0.006,2.72,27.705048,85.329048,203.55
99,2025-05-13,14:00:04.900,49100000,00099,11.995,0.505,36.52,552,652,453,601,OPEN,10.24,20.15,207.96,0.24,-0.47,0.49,0.008,0.006,2.72,27.705049,85.329049,207.96
100,2025-05-13,14:00:04.950,49600000,00100,11.995,0.505,36.52,552,652,453,601,OPEN,10.25,20.15,212.43,0.24,-0.47,0.48,0.008,0.005,2.72,27.705049,85.329049,212.43
101,2025-05-13,14:00:05.000,50100000,00101,11.995,0.505,36.52,552,652,453,601,OPEN,10.25,20.15,216.96,0.24,-0.48,0.48,0.008,0.005,2.71,27.70505,85.32905,216.96
102,2025-05-13,14:00:05.050,50600000,00102,11.995,0.505,36.52,552,652,453,601,OPEN,10.25,20.15,221.54,0.24,-0.48,0.48,0.008,0.005,2.71,27.70505,85.32905,221.54
103,2025-05-13,14:00:05.100,51100000,00103,11.995,0.505,36.53,552,652,453,601,OPEN,10.26,20.15,226.18,0.24,-0.48,0.48,0.009,0.005,2.71,27.705051,85.329051,226.18
104,2025-05-13,14:00:05.150,51600000,00104,11.995,0.505,36.53,552,652,453,601,OPEN,10.26,20.15,230.87,0.25,-0.49,0.48,0.009,0.005,2.71,27.705051,85.329051,230.87
105,2025-05-13,14:00:05.200,52100000,00105,11.995,0.505,36.53,552,652,453,601,OPEN,10.26,20.16,235.61,0.25,-0.49,0.48,0.009,0.005,2.7,27.705052,85.329052,235.61
106,2025-05-13,14:00:05.250,52600000,00106,11.995,0.505,36.53,552,652,453,600,OPEN,10.26,20.16,240.41,0.25,-0.5,0.48,0.009,0.005,2.7,27.705052,85.329052,240.41
107,2025-05-13,14:00:05.300,53100000,00107,11.995,0.505,36.53,552,652,453,600,OPEN,10.27,20.16,245.27,0.25,-0.5,0.48,0.009,0.005,2.7,27.705053,85.329053,245.27
108,2025-05-13,14:00:05.350,53600000,00108,11.995,0.505,36.53,552,652,453,600,OPEN,10.27,20.16,250.18,0.25,-0.51,0.48,0.009,0.005,2.7,27.705053,85.329054,250.18
109,2025-05-13,14:00:05.400,54100000,00109,11.995,0.505,36.53,552,652,453,600,OPEN,10.27,20.16,255.14,0.26,-0.51,0.48,0.009,0.005,2.69,27.705054,85.329054,255.14
110,2025-05-13,14:00:05.450,54600000,00110,11.995,0.505,36.53,552,652,453,600,OPEN,10.27,20.16,260.16,0.26,-0.52,0.48,0.009,0.005,2.69,27.705054,85.329054,260.16
111,2025-05-13,14:00:05.500,55100000,00111,11.995,0.505,36.53,552,652,453,600,OPEN,10.28,20.16,265.24,0.26,-0.52,0.48,0.009,0.005,2.69,27.705055,85.329055,265.24
112,2025-05-13,14:00:05.550,55600000,00112,11.994,0.505,36.53,552,652,453,600,OPEN,10.28,20.17,270.37,0.26,-0.53,0.48,0.009,0.004,2.68,27.705055,85.329055,270.37
113,2025-05-13,14:00:05.600,56100000,00113,11.994,0.505,36.53,552,652,453,600,OPEN,10.28,20.17,275.56,0.27,-0.53,0.48,0.009,0.004,2.68,27.705056,85.329056,275.56
114,2025-05-13,14:00:05.650,56600000,00114,11.994,0.505,36.53,552,652,453,600,OPEN,10.28,20.17,280.81,0.27,-0.53,0.48,0.009,0.004,2.68,27.705056,85.329056,280.81
115,2025-05-13,14:00:05.700,57100000,00115,11.994,0.505,36.53,552,652,453,600,OPEN,10.29,20.17,286.11,0.27,-0.54,0.48,0.009,0.004,2.68,27.705057,85.329057,286.11
116,2025-05-13,14:00:05.750,57600000,00116,11.994,0.505,36.53,552,652,453,600,OPEN,10.29,20.17,291.46,0.27,-0.54,0.48,0.009,0.004,2.67,27.705057,85.329057,291.46
117,2025-05-13,14:00:05.800,58100000,00117,11.994,0.505,36.53,552,652,453,600,OPEN,10.29,20.17,296.88,0.27,-0.55,0.48,0.009,0.004,2.67,27.705058,85.329058,296.88
118,2025-05-13,14:00:05.850,58600000,00118,11.994,0.506,36.53,552,652,453,600,OPEN,10.29,20.18,302.34,0.28,-0.55,0.48,0.009,0.004,2.67,27.705058,85.329058,302.34
119,2025-05-13,14:00:05.900,59100000,00119,11.994,0.506,36.53,552,652,453,600,OPEN,10.29,20.18,307.87,0.28,-0.56,0.48,0.009,0.004,2.67,27.705059,85.329059,307.87
120,2025-05-13,14:00:05.950,59600000,00120,11.994,0.506,36.53,552,652,453,600,OPEN,10.3,20.18,313.45,0.28,-0.56,0.48,0.009,0.004,2.66,27.705059,85.329059,313.45
121,2025-05-13,14:00:06.000,60100000,00121,11.994,0.506,36.53,552,652,453,600,OPEN,10.3,20.18,319.09,0.28,-0.57,0.48,0.009,0.004,2.66,27.70506,85.32906,319.09
122,2025-05-13,14:00:06.050,60600000,00122,11.994,0.506,36.53,552,652,453,600,OPEN,10.3,20.18,324.78,0.28,-0.57,0.48,0.009,0.004,2.66,27.70506,85.32906,324.78
123,2025-05-13,14:00:06.100,61100000,00123,11.994,0.506,36.53,552,652,453,600,OPEN,10.3,20.18,330.54,0.29,-0.57,0.48,0.009,0.003,2.66,27.705061,85.329061,330.54
124,2025-05-13,14:00:06.150,61600000,00124,11.994,0.506,36.53,552,652,453,600,OPEN,10.31,20.18,336.34,0.29,-0.58,0.48,0.009,0.003,2.65,27.705061,85.329061,336.34
125,2025-05-13,14:00:06.200,62100000,00125,11.994,0.506,36.53,552,652,453,600,OPEN,10.31,20.19,342.21,0.29,-0.58,0.48,0.009,0.003,2.65,27.705062,85.329062,342.21
126,2025-05-13,14:00:06.250,62600000,00126,11.994,0.506,36.53,552,652,453,600,OPEN,10.31,20.19,348.13,0.29,-0.59,0.48,0.009,0.003,2.65,27.705062,85.329062,348.13
127,2025-05-13,14:00:06.300,63100000,00127,11.994,0.506,36.53,552,652,453,600,OPEN,10.31,20.19,354.11,0.29,-0.59,0.48,0.01,0.003,2.64,27.705063,85.329063,354.11
128,2025-05-13,14:00:06.350,63600000,00128,11.994,0.506,36.53,552,652,453,600,OPEN,10.32,20.19,360.15,0.3,-0.6,0.48,0.01,0.003,2.64,27.705063,85.329063,360.15
129,2025-05-13,14:00:06.400,64100000,00129,11.994,0.506,36.53,552,652,453,600,OPEN,10.32,20.19,366.24,0.3,-0.6,0.47,0.01,0.003,2.64,27.705064,85.329064,366.24
130,2025-05-13,14:00:06.450,64600000,00130,11.994,0.506,36.53,553,652,453,600,OPEN,10.32,20.19,372.4,0.3,-0.61,0.47,0.01,0.003,2.64,27.705064,85.329064,372.4
131,2025-05-13,14:00:06.500,65100000,00131,11.993,0.506,36.53,553,652,453,600,OPEN,10.32,20.2,378.6,0.3,-0.61,0.47,0.01,0.003,2.63,27.705065,85.329065,378.6
132,2025-05-13,14:00:06.550,65600000,00132,11.993,0.506,36.53,553,652,453,600,OPEN,10.33,20.2,384.87,0.3,-0.61,0.47,0.01,0.003,2.63,27.705065,85.329065,384.87
133,2025-05-13,14:00:06.600,66100000,00133,11.993,0.506,36.53,553,652,453,600,OPEN,10.33,20.2,391.2,0.31,-0.62,0.47,0.01,0.002,2.63,27.705066,85.329066,391.2
134,2025-05-13,14:00:06.650,66600000,00134,11.993,0.506,36.53,553,652,453,600,OPEN,10.33,20.2,397.58,0.31,-0.62,0.47,0.01,0.002,2.63,27.705066,85.329066,397.58
135,2025-05-13,14:00:06.700,67100000,00135,11.993,0.506,36.53,553,652,453,600,OPEN,10.34,20.2,404.02,0.31,-0.63,0.47,0.01,0.002,2.62,27.705067,85.329067,404.02
136,2025-05-13,14:00:06.750,67600000,00136,11.993,0.506,36.53,553,652,453,600,OPEN,10.34,20.2,410.52,0.31,-0.63,0.47,0.01,0.002,2.62,27.705067,85.329067,410.52
137,2025-05-13,14:00:06.800,68100000,00137,11.993,0.506,36.53,553,652,453,600,OPEN,10.34,20.2,417.07,0.31,-0.64,0.47,0.01,0.002,2.62,27.705068,85.329068,417.07
